"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Academy Journeymage","dom","Near Mint","English","","","2025-08-06 14:22:43.397000","41","False","False","0.35"
"1","1","Acclaimed Contender","moc","Near Mint","English","","","2025-08-06 14:22:43.397000","166","False","False","0.49"
"2","2","Accomplished Automaton","2xm","Near Mint","English","","","2025-08-06 14:22:43.397000","230","False","False","0.35"
"1","1","Accorder Paladin","mbs","Near Mint","English","","","2025-08-06 14:22:43.397000","1","False","False","0.35"
"1","1","Accumulated Knowledge","a25","Near Mint","English","","","2025-08-06 14:22:43.397000","40","False","False","0.49"
"1","1","Accursed Horde","hou","Near Mint","English","","","2025-08-06 14:22:43.397000","56","False","False","0.35"
"3","3","Accursed Spirit","m15","Near Mint","English","","","2025-08-06 14:22:43.397000","85","False","False","0.35"
"1","1","Accursed Witch // Infectious Curse","soi","Near Mint","English","","","2025-08-06 14:22:43.397000","97","False","False","0.35"
"1","1","Acidic Slime","m3c","Near Mint","English","","","2025-08-06 14:22:43.397000","218","False","False","0.35"
"1","1","Acidic Sliver","sth","Near Mint","English","","","2025-08-06 14:22:43.397000","126","False","False","0.49"
"2","2","Acid-Spewer Dragon","dtk","Near Mint","English","","","2025-08-06 14:22:43.397000","86","False","False","0.35"
"2","2","Acolyte of the Inferno","ori","Near Mint","English","","","2025-08-06 14:22:43.397000","128","False","False","0.35"
"1","1","Act of Heroism","a25","Near Mint","English","","","2025-08-06 14:22:43.397000","1","False","False","0.35"
"1","1","Act of Treason","gtc","Near Mint","English","","","2025-08-06 14:22:43.397000","85","False","False","0.35"
"2","2","Act on Impulse","m15","Near Mint","English","","","2025-08-06 14:22:43.397000","126","False","False","0.35"
"1","1","Active Volcano","chr","Near Mint","English","","","2025-11-02 18:59:22.753000","43","False","False","0.35"
"1","1","Adamant Will","dom","Near Mint","English","","","2025-08-06 14:22:43.397000","2","False","False","0.35"
"2","2","Adanto Vanguard","xln","Near Mint","English","","","2025-08-06 14:22:43.397000","1","False","False","0.35"
"1","1","Adaptive Automaton","2xm","Near Mint","English","","","2025-08-06 14:22:43.397000","231","False","False","3.49"
"2","2","Adaptive Snapjaw","gtc","Near Mint","English","","","2025-08-06 14:22:43.397000","113","False","False","0.35"
"1","1","Adarkar Valkyrie","c18","Near Mint","English","","","2025-08-06 14:22:43.397000","60","False","False","1.49"
"3","3","Addle","inv","Near Mint","English","","","2025-08-06 14:22:43.397000","91","False","False","0.35"
"1","1","Adeliz, the Cinder Wind","dom","Near Mint","English","","","2025-08-06 14:22:43.397000","190","False","False","0.35"
"1","1","Admonition Angel","znc","Near Mint","English","","","2025-08-06 14:22:43.397000","10","False","False","0.99"
"1","1","Adorned Pouncer","hou","Near Mint","English","","","2025-08-06 14:22:43.397000","2","False","False","0.99"
"1","1","Adrix and Nev, Twincasters","mkc","Near Mint","English","","","2025-08-06 14:22:43.397000","198","False","False","4.99"
"1","1","Adult Gold Dragon","afr","Near Mint","English","","","2025-08-06 14:22:43.397000","216","False","False","0.49"
"2","2","Advanced Hoverguard","5dn","Near Mint","English","","","2025-08-06 14:22:43.397000","22","False","False","0.35"
"1","1","Advanced Stitchwing","2x2","Near Mint","English","","","2025-08-06 14:22:43.397000","36","False","False","0.35"
"2","2","Advent of the Wurm","gk1","Near Mint","English","","","2025-08-06 14:22:43.397000","107","False","False","0.49"
"1","1","Adventure Awaits","znr","Near Mint","English","","","2025-08-06 14:22:43.397000","177","False","False","0.35"
"1","1","Adventurous Impulse","sta","Near Mint","English","","","2025-08-06 14:22:43.397000","49","False","False","0.35"
"1","1","Adverse Conditions","bfz","Near Mint","English","","","2025-08-06 14:22:43.397000","54","False","False","0.35"
"1","1","Advocate of the Beast","m14","Near Mint","English","","","2025-08-06 14:22:43.397000","164","False","False","0.35"
"2","2","Aegis of the Heavens","m19","Near Mint","English","","","2025-08-06 14:22:43.397000","1","False","False","0.35"
"1","1","Aeon Engine","c19","Near Mint","English","","","2025-08-06 14:22:43.397000","52","False","False","0.49"
"1","1","Aerial Engineer","m19","Near Mint","English","","","2025-08-06 14:22:43.397000","211","False","False","0.35"
"2","2","Aerial Formation","jou","Near Mint","English","","","2025-08-06 14:22:43.397000","30","False","False","0.35"
"1","1","Aerial Guide","hou","Near Mint","English","","","2025-08-06 14:22:43.397000","29","False","False","0.35"
"2","2","Aerial Maneuver","gtc","Near Mint","English","","","2025-08-06 14:22:43.397000","1","False","False","0.35"
"1","1","Aerial Modification","aer","Near Mint","English","","","2025-08-06 14:22:43.397000","1","False","False","0.35"
"2","2","Aerial Predation","ima","Near Mint","English","","","2025-08-06 14:22:43.397000","154","False","False","0.35"
"2","2","Aerial Volley","ori","Near Mint","English","","","2025-08-06 14:22:43.397000","168","False","False","0.35"
"4","4","Aerie Bowmasters","dtk","Near Mint","English","","","2025-08-06 14:22:43.397000","170","False","False","0.35"
"1","1","Aerie Worshippers","bng","Near Mint","English","","","2025-08-06 14:22:43.397000","30","False","False","0.35"
"2","2","Aerith Rescue Mission","fin","Near Mint","English","","","2025-08-25 14:25:56.900000","5","False","False","0.35"
"1","1","Aeronaut Cavalry","bro","Near Mint","English","","","2025-08-06 14:22:43.397000","1","False","False","0.35"
"2","2","Aeronaut Tinkerer","m15","Near Mint","English","","","2025-08-06 14:22:43.397000","43","False","False","0.35"
"1","1","Aether Burst","ody","Near Mint","English","","","2025-08-06 14:22:43.397000","60","False","False","0.35"
"4","4","Aether Hub","m3c","Near Mint","English","","","2025-08-06 14:22:43.397000","317","False","False","0.35"
"2","2","Aether Meltdown","kld","Near Mint","English","","","2025-08-06 14:22:43.397000","36","False","False","0.35"
"1","1","Aether Spellbomb","mma","Near Mint","English","","","2025-08-06 14:22:43.397000","196","False","False","0.35"
"2","2","Aether Theorist","kld","Near Mint","English","","","2025-08-06 14:22:43.397000","37","False","False","0.35"
"1","1","Aether Tradewinds","kld","Near Mint","English","","","2025-08-06 14:22:43.397000","38","False","False","0.35"
"2","2","Aether Tunnel","m19","Near Mint","English","","","2025-08-06 14:22:43.397000","43","False","False","0.99"
"1","1","Aether Vial","dst","Near Mint","English","","","2025-08-06 14:22:43.397000","91","False","False","7.49"
"1","1","Aetherborn Marauder","otc","Near Mint","English","","","2025-08-06 14:22:43.397000","125","False","False","0.35"
"1","1","Aethergeode Miner","m3c","Near Mint","English","","","2025-08-06 14:22:43.397000","163","False","False","0.49"
"4","4","Aetherize","znc","Near Mint","English","","","2025-09-10 19:09:11.433000","23","False","False","0.59"
"1","1","Aethermage's Touch","2x2","Near Mint","English","","","2025-08-06 14:22:43.397000","167","False","False","0.35"
"2","2","Aethershield Artificer","m19","Near Mint","English","","","2025-08-06 14:22:43.397000","2","False","False","0.35"
"1","1","Aethersnipe","2x2","Near Mint","English","","","2025-08-06 14:22:43.397000","37","False","False","0.35"
"4","4","Aetherstorm Roc","m3c","Near Mint","English","","","2025-08-06 14:22:43.397000","164","False","False","0.49"
"1","1","Aethertorch Renegade","kld","Near Mint","English","","","2025-08-06 14:22:43.397000","106","False","False","0.35"
"1","1","Aethertow","mm3","Near Mint","English","","","2025-08-06 14:22:43.397000","205","False","False","0.35"
"1","1","Afflict","10e","Near Mint","English","","","2025-08-06 14:22:43.397000","125","False","False","0.35"
"1","1","Afterburner Expert","dft","Near Mint","English","","","2025-08-25 14:25:56.900000","150","False","False","0.49"
"3","3","Aftershock","tmp","Near Mint","English","","","2025-08-06 14:22:43.397000","160","False","False","0.35"
"3","3","Agent of Erebos","jou","Near Mint","English","","","2025-08-06 14:22:43.397000","59","False","False","0.35"
"3","3","Agent of Horizons","ths","Near Mint","English","","","2025-08-06 14:22:43.397000","148","False","False","0.35"
"1","1","Agent of Kotis","tdm","Near Mint","English","","","2025-08-25 14:25:56.900000","36","False","False","0.35"
"1","1","Aggressive Sabotage","dmu","Near Mint","English","","","2025-08-06 14:22:43.397000","78","False","False","0.35"
"2","2","Aggressive Urge","rix","Near Mint","English","","","2025-08-06 14:22:43.397000","122","False","False","0.35"
"2","2","Agitator Ant","mkc","Near Mint","English","","","2025-08-06 14:22:43.397000","145","False","False","0.49"
"1","1","Agonizing Demise","inv","Near Mint","English","","","2025-08-06 14:22:43.397000","92","False","False","0.35"
"1","1","Agoraphobia","ddm","Near Mint","English","","","2025-08-06 14:22:43.397000","22","False","False","0.35"
"2","2","Agrus Kos, Wojek Veteran","gk1","Near Mint","English","","","2025-08-06 14:22:43.397000","83","False","False","0.69"
"1","1","Ahn-Crop Champion","akh","Near Mint","English","","","2025-08-06 14:22:43.397000","194","False","False","0.35"
"1","1","Ahriman","fin","Near Mint","English","","","2025-08-25 14:25:56.900000","87","False","False","0.35"
"1","1","Aid the Fallen","war","Near Mint","English","","","2025-08-06 14:22:43.397000","76","False","False","0.35"
"1","1","Aim for the Head","vow","Near Mint","English","","","2025-08-06 14:22:43.397000","92","False","False","0.35"
"1","1","Aim High","bbd","Near Mint","English","","","2025-08-06 14:22:43.397000","189","False","False","0.35"
"3","3","Ainok Artillerist","dtk","Near Mint","English","","","2025-08-06 14:22:43.397000","171","False","False","0.35"
"3","3","Ainok Bond-Kin","cmm","Near Mint","English","","","2025-08-06 14:22:43.397000","7","False","False","0.35"
"2","2","Ainok Guide","frf","Near Mint","English","","","2025-08-06 14:22:43.397000","121","False","False","0.35"
"2","2","Ainok Survivalist","mkc","Near Mint","English","","","2025-08-06 14:22:43.397000","165","False","False","0.35"
"4","4","Air Bladder","nem","Near Mint","English","","","2025-08-06 14:22:43.397000","28","False","False","0.35"
"1","1","Air Elemental","btd","Near Mint","English","","","2025-08-06 14:22:43.397000","1","False","False","0.35"
"1","1","Air Servant","w16","Near Mint","English","","","2025-08-06 14:22:43.397000","4","False","False","0.35"
"2","2","Air-Cult Elemental","afr","Near Mint","English","","","2025-08-06 14:22:43.397000","45","False","False","0.35"
"1","1","Airlift Chaplain","bro","Near Mint","English","","","2025-08-06 14:22:43.397000","2","False","False","0.35"
"1","1","Airship Crash","fin","Near Mint","English","","","2025-08-25 14:25:56.900000","171","False","False","0.35"
"2","2","Ajani Unyielding","ncc","Near Mint","English","","","2025-08-06 14:22:43.397000","324","False","False","0.99"
"1","1","Ajani, the Greathearted","war","Near Mint","English","","","2025-08-06 14:22:43.397000","184","False","False","1.49"
"1","1","Ajani's Chosen","woc","Near Mint","English","","","2025-08-06 14:22:43.397000","59","False","False","0.79"
"5","5","Ajani's Mantra","ddh","Near Mint","English","","","2025-08-06 14:22:43.397000","22","False","False","0.49"
"1","1","Ajani's Pridemate","m19","Near Mint","English","","","2025-08-06 14:22:43.397000","5","False","False","0.35"
"1","1","Ajani's Pridemate","clu","Near Mint","English","","","2025-08-06 14:22:43.397000","52","False","False","0.35"
"1","1","Ajani's Welcome","m19","Near Mint","English","","","2025-11-02 18:54:11.840000","6","False","False","4.99"
"1","1","Akim, the Soaring Wind","c20","Near Mint","English","","","2025-08-06 14:22:43.397000","6","False","False","1.99"
"1","1","Akki Avalanchers","chk","Near Mint","English","","","2025-08-06 14:22:43.397000","151","False","False","0.35"
"1","1","Akki Ember-Keeper","neo","Near Mint","English","","","2025-08-06 14:22:43.397000","130","False","False","0.35"
"1","1","Akki Raider","bok","Near Mint","English","","","2025-08-06 14:22:43.397000","92","False","False","0.35"
"1","1","Akki Rockspeaker","chk","Near Mint","English","","","2025-08-06 14:22:43.397000","154","False","False","0.35"
"1","1","Akki Ronin","neo","Near Mint","English","","","2025-08-06 14:22:43.397000","319","False","False","0.35"
"1","1","Akki Ronin","neo","Near Mint","English","","","2025-08-06 14:22:43.397000","131","False","False","0.35"
"2","2","Akoum Flameseeker","ogw","Near Mint","English","","","2025-08-06 14:22:43.397000","101","False","False","0.35"
"1","1","Akoum Hellkite","bfz","Near Mint","English","","","2025-08-06 14:22:43.397000","139","False","False","0.49"
"1","1","Akoum Refuge","c19","Near Mint","English","","","2025-08-06 14:22:43.397000","226","False","False","0.35"
"1","1","Akoum Warrior // Akoum Teeth","znr","Near Mint","English","","","2025-08-06 14:22:43.397000","134","False","False","0.35"
"1","1","Akroan Conscriptor","bng","Near Mint","English","","","2025-08-06 14:22:43.397000","87","False","False","0.35"
"1","1","Akroan Hoplite","cn2","Near Mint","English","","","2025-08-06 14:22:43.397000","197","False","False","0.35"
"3","3","Akroan Horse","c16","Near Mint","English","","","2025-08-06 14:22:43.397000","241","False","False","1.29"
"1","1","Akroan Line Breaker","jou","Near Mint","English","","","2025-08-06 14:22:43.397000","88","False","False","0.35"
"1","1","Akroan Mastiff","jou","Near Mint","English","","","2025-08-06 14:22:43.397000","3","False","False","0.35"
"1","1","Akroan Sergeant","ori","Near Mint","English","","","2025-08-06 14:22:43.397000","130","False","False","0.35"
"3","3","Akroma's Vengeance","cma","Near Mint","English","","","2025-08-06 14:22:43.397000","2","False","False","0.69"
"1","1","Alabaster Wall","mmq","Near Mint","English","","","2025-08-06 14:22:43.397000","2","False","False","0.35"
"1","1","Alacrian Jaguar","dft","Near Mint","English","","","2025-08-25 14:25:56.900000","152","False","False","0.35"
"3","3","Alchemist's Greeting","c19","Near Mint","English","","","2025-08-06 14:22:43.397000","133","False","False","0.35"
"1","1","Alchemist's Retrieval","vow","Near Mint","English","","","2025-08-06 14:22:43.397000","47","False","False","0.35"
"1","1","Alchemist's Vial","ori","Near Mint","English","","","2025-08-06 14:22:43.397000","220","False","False","0.35"
"1","1","Alesha's Legacy","tdm","Near Mint","English","","","2025-08-25 14:25:56.900000","72","False","False","0.35"
"1","1","Alesha's Vanguard","frf","Near Mint","English","","","2025-08-06 14:22:43.397000","60","False","False","0.35"
"1","1","Algae Gharial","mm2","Near Mint","English","","","2025-08-06 14:22:43.397000","137","False","False","0.35"
"2","2","Aligned Hedron Network","bfz","Near Mint","English","","","2025-08-06 14:22:43.397000","222","False","False","0.49"
"1","1","Alive // Well","dgm","Near Mint","English","","","2025-08-06 14:22:43.397000","121","False","False","0.35"
"2","2","Allied Reinforcements","ogw","Near Mint","English","","","2025-08-06 14:22:43.397000","15","False","False","0.35"
"2","2","Allied Strategies","dde","Near Mint","English","","","2025-08-06 14:22:43.397000","63","False","False","0.35"
"1","1","Alloy Golem","inv","Near Mint","English","","","2025-08-06 14:22:43.397000","297","False","False","0.35"
"1","1","Alloy Myr","mm2","Near Mint","English","","","2025-08-06 14:22:43.397000","201","False","False","0.99"
"1","1","Alluring Siren","m12","Near Mint","English","","","2025-08-06 14:22:43.397000","42","False","False","0.35"
"1","1","Alluring Suitor // Deadly Dancer","vow","Near Mint","English","","","2025-08-06 14:22:43.397000","300","False","False","0.35"
"3","3","Ally Encampment","bfz","Near Mint","English","","","2025-08-06 14:22:43.397000","228","False","False","0.49"
"1","1","Alms Collector","cmm","Near Mint","English","","","2025-08-06 14:22:43.397000","10","False","False","1.29"
"1","1","Alpha Deathclaw","pip","Near Mint","English","","","2025-08-25 14:25:56.900000","91","False","False","0.59"
"1","1","Alpha Kavu","pls","Near Mint","English","","","2025-08-06 14:22:43.397000","77","False","False","0.35"
"1","1","Alpha Myr","mrd","Near Mint","English","","","2025-08-06 14:22:43.397000","142","False","False","0.35"
"1","1","Alpine Moon","m19","Near Mint","English","","","2025-08-06 14:22:43.397000","128","False","False","0.59"
"2","2","Altac Bloodseeker","m15","Near Mint","English","","","2025-08-06 14:22:43.397000","128","False","False","0.35"
"1","1","Altar Golem","eve","Near Mint","English","","","2025-08-06 14:22:43.397000","166","False","False","0.99"
"1","1","Altar's Reap","cn2","Near Mint","English","","","2025-08-06 14:22:43.397000","127","False","False","0.35"
"1","1","Altered Ego","soi","Near Mint","English","","","2025-08-06 14:22:43.397000","241","False","False","1.79"
"1","1","Always Watching","soi","Near Mint","English","","","2025-08-06 14:22:43.397000","1","False","False","1.29"
"1","1","Ambition's Cost","moc","Near Mint","English","","","2025-08-06 14:22:43.397000","246","False","False","0.39"
"1","1","Ambitious Aetherborn","kld","Near Mint","English","","","2025-08-06 14:22:43.397000","72","False","False","0.35"
"2","2","Ambulatory Edifice","one","Near Mint","English","","","2025-08-06 14:22:43.397000","79","False","False","0.35"
"3","3","Ambuscade","2x2","Near Mint","English","","","2025-08-06 14:22:43.397000","133","False","False","0.35"
"2","2","Ambuscade Shaman","dtk","Near Mint","English","","","2025-08-06 14:22:43.397000","87","False","False","0.35"
"2","2","Ambush Krotiq","frf","Near Mint","English","","","2025-08-06 14:22:43.397000","122","False","False","0.35"
"1","1","Ambush Paratrooper","bro","Near Mint","English","","","2025-08-06 14:22:43.397000","3","False","False","0.35"
"1","1","Aminatou's Augury","cmm","Near Mint","English","","","2025-08-06 14:22:43.397000","73","False","False","0.49"
"1","1","Amoeboid Changeling","lrw","Near Mint","English","","","2025-08-06 14:22:43.397000","51","False","False","0.99"
"3","3","Amphin Pathmage","m15","Near Mint","English","","","2025-08-06 14:22:43.397000","45","False","False","0.35"
"1","1","Amplifire","rna","Near Mint","English","","","2025-08-06 14:22:43.397000","92","False","False","0.49"
"2","2","Ampryn Tactician","ori","Near Mint","English","","","2025-08-06 14:22:43.397000","2","False","False","0.35"
"1","1","Ana Sanctuary","apc","Near Mint","English","","","2025-08-06 14:22:43.397000","74","False","False","0.35"
"2","2","Anaba Bodyguard","6ed","Near Mint","English","","","2025-08-06 14:22:43.397000","164","False","False","0.35"
"1","1","Anaba Shaman","9ed","Near Mint","English","","","2025-08-06 14:22:43.397000","172","False","False","0.35"
"1","1","Anaconda","usg","Near Mint","English","","","2025-08-06 14:22:43.397000","232","False","False","0.35"
"1","1","Anafenza, the Foremost","ktk","Near Mint","English","","","2025-08-06 14:22:43.397000","163","False","False","0.99"
"1","1","Anarchist","9ed","Near Mint","English","","","2025-08-06 14:22:43.397000","173","False","False","0.35"
"3","3","Anax and Cymede","ths","Near Mint","English","","","2025-08-06 14:22:43.397000","186","False","False","0.49"
"1","1","Ancestor's Chosen","jud","Near Mint","English","","","2025-08-06 14:22:43.397000","1","False","False","0.35"
"1","1","Ancestral Anger","vow","Near Mint","English","","","2025-08-06 14:22:43.397000","142","False","False","0.35"
"2","2","Ancestral Katana","neo","Near Mint","English","","","2025-08-06 14:22:43.397000","1","False","False","0.35"
"1","1","Ancestral Knowledge","wth","Near Mint","English","","","2025-08-06 14:22:43.397000","32","False","False","4.99"
"5","5","Ancestral Statue","dtk","Near Mint","English","","","2025-08-06 14:22:43.397000","234","False","False","0.35"
"1","1","Ancestral Vengeance","frf","Near Mint","English","","","2025-08-06 14:22:43.397000","61","False","False","0.35"
"4","4","Anchor to the Aether","ori","Near Mint","English","","","2025-08-06 14:22:43.397000","44","False","False","0.35"
"1","1","Ancient Adamantoise","fin","Near Mint","English","","","2025-08-25 14:25:56.900000","172","False","False","5.49"
"1","1","Ancient Animus","cmr","Near Mint","English","","","2025-08-06 14:22:43.397000","215","False","False","0.35"
"1","1","Ancient Craving","p02","Near Mint","English","","","2025-08-06 14:22:43.397000","62","False","False","4.99"
"1","1","Ancient Craving","voc","Near Mint","English","","","2025-08-06 14:22:43.397000","117","False","False","0.49"
"1","1","Ancient Excavation","cm2","Near Mint","English","","","2025-08-06 14:22:43.397000","150","False","False","2.29"
"1","1","Ancient Hydra","nem","Near Mint","English","","","2025-08-06 14:22:43.397000","76","False","False","0.35"
"2","2","Ancient Silverback","m15","Near Mint","English","","","2025-08-06 14:22:43.397000","168","False","False","0.35"
"1","1","Ancient Vendetta","dft","Near Mint","English","","","2025-08-25 14:25:56.900000","75","False","False","0.35"
"1","1","Ancient Ziggurat","con","Near Mint","English","","","2025-08-06 14:22:43.397000","141","False","False","3.49"
"1","1","Angel of Despair","gk2","Near Mint","English","","","2025-08-06 14:22:43.397000","37","False","False","1.99"
"1","1","Angel of Finality","fdn","Near Mint","English","","","2025-08-06 14:22:43.397000","136","False","False","0.35"
"1","1","Angel of Glory's Rise","avr","Near Mint","English","","","2025-08-06 14:22:43.397000","1","False","False","0.59"
"1","1","Angel of Mercy","inv","Near Mint","English","","","2025-08-06 14:22:43.397000","2","False","False","0.35"
"3","3","Angel of Renewal","bfz","Near Mint","English","","","2025-08-06 14:22:43.397000","18","False","False","0.35"
"3","3","Angel of Salvation","moc","Near Mint","English","","","2025-08-06 14:22:43.397000","170","False","False","0.49"
"2","2","Angel of Serenity","c21","Near Mint","English","","","2025-08-06 14:22:43.397000","83","False","False","1.29"
"1","1","Angel of the Dawn","cmr","Near Mint","English","","","2025-08-06 14:22:43.397000","6","False","False","0.35"
"2","2","Angelfire Crusader","apc","Near Mint","English","","","2025-08-06 14:22:43.397000","1","False","False","0.35"
"2","2","Angelic Chorus","bbd","Near Mint","English","","","2025-08-06 14:22:43.397000","87","False","False","4.49"
"1","1","Angelic Edict","fdn","Near Mint","English","","","2025-08-06 14:22:43.397000","490","False","False","0.39"
"1","1","Angelic Exaltation","rvr","Near Mint","English","","","2025-08-06 14:22:43.397000","2","False","False","0.35"
"2","2","Angelic Favor","nem","Near Mint","English","","","2025-08-06 14:22:43.397000","1","False","False","0.35"
"1","1","Angelic Gift","afc","Near Mint","English","","","2025-08-06 14:22:43.397000","64","False","False","0.35"
"2","2","Angelic Purge","soi","Near Mint","English","","","2025-08-06 14:22:43.397000","3","False","False","0.35"
"1","1","Angel's Feather","dvd","Near Mint","English","","","2025-08-06 14:22:43.397000","23","False","False","0.35"
"1","1","Angelsong","dvd","Near Mint","English","","","2025-08-06 14:22:43.397000","15","False","False","0.49"
"2","2","Angrath, Captain of Chaos","war","Near Mint","English","","","2025-08-06 14:22:43.397000","227","False","False","0.35"
"2","2","Angrath's Rampage","war","Near Mint","English","","","2025-08-06 14:22:43.397000","185","False","False","0.35"
"1","1","Angry Rabble","spm","Near Mint","English","","","2026-02-10 14:28:03.170000","75","False","False",""
"1","1","Anhelo, the Painter","ncc","Near Mint","English","","","2025-08-06 14:22:43.397000","1","False","False","0.99"
"1","1","Animal Sanctuary","m21","Near Mint","English","","","2025-08-06 14:22:43.397000","242","False","False","2.29"
"1","1","Animate Land","nem","Near Mint","English","","","2025-08-06 14:22:43.397000","101","False","False","0.35"
"1","1","Animating Faerie // Bring to Life","eld","Near Mint","English","","","2025-08-06 14:22:43.397000","38","False","False","0.35"
"3","3","Animation Module","kld","Near Mint","English","","","2025-11-02 18:51:05.003000","194","False","False","1.99"
"1","1","Anje Falkenrath","c19","Near Mint","English","foil","","2025-08-06 14:22:43.397000","37","False","False","1.49"
"1","1","Anje's Ravager","voc","Near Mint","English","","","2025-08-06 14:22:43.397000","141","False","False","0.69"
"1","1","Annihilating Fire","rtr","Near Mint","English","","","2025-08-06 14:22:43.397000","85","False","False","0.35"
"1","1","Annul","ths","Near Mint","English","","","2025-08-06 14:22:43.397000","38","False","False","0.35"
"1","1","Anoint with Affliction","one","Near Mint","English","","","2025-08-06 14:22:43.397000","81","False","False","3.49"
"1","1","Anointer Priest","akh","Near Mint","English","","","2025-08-06 14:22:43.397000","3","False","False","0.35"
"1","1","Anowon, the Ruin Sage","voc","Near Mint","English","","","2025-08-06 14:22:43.397000","118","False","False","2.29"
"1","1","Anthem of Rakdos","dis","Near Mint","English","","","2025-08-06 14:22:43.397000","102","False","False","0.69"
"1","1","Anthousa, Setessan Hero","ths","Near Mint","English","","","2025-08-06 14:22:43.397000","149","False","False","0.49"
"1","1","Anticausal Vestige","eoe","Near Mint","English","","","2025-08-25 14:25:56.900000","1","False","False","2.79"
"1","1","Anticipate","dtk","Near Mint","English","","","2025-08-06 14:22:43.397000","45","False","False","0.35"
"2","2","Anticipate","m20","Near Mint","English","","","2025-09-10 19:09:39.417000","45","False","False","0.35"
"1","1","Anurid Barkripper","jud","Near Mint","English","","","2025-08-06 14:22:43.397000","104","False","False","0.35"
"1","1","Anvilwrought Raptor","m20","Near Mint","English","","","2025-08-06 14:22:43.397000","221","False","False","0.35"
"1","1","Apocalypse Demon","hou","Near Mint","English","","","2025-08-06 14:22:43.397000","58","False","False","0.49"
"1","1","Apocalypse Runner","dft","Near Mint","English","","","2025-08-25 14:25:56.900000","188","False","False","0.35"
"1","1","Apostle's Blessing","mm2","Near Mint","English","","","2025-08-06 14:22:43.397000","8","False","False","0.35"
"1","1","Apothecary Geist","soi","Near Mint","English","","","2025-08-06 14:22:43.397000","4","False","False","0.35"
"1","1","Appeal // Authority","hou","Near Mint","English","","","2025-08-06 14:22:43.397000","152","False","False","0.35"
"1","1","Appeal to Eirdu","ecl","Near Mint","English","","","2026-02-10 14:28:03.170000","5","False","False",""
